,Id,Score,ViewCount,Body,Title,AnswerCount,CommentCount,AcceptedAnswerId,OwnerUserId,CreationDate,ClosedDate,label,length
0,35339,-7,1074,Let X be the set of all sets that do not contain themselves. Is X a member of X?,Russell's Paradox,3,0,35409.0,658.0,2008-08-29 21:27:23,2011-08-10 03:40:44,-1,80
1,43086,-6,564,What is the best way to multi-thread in the C language? I want something that is very efficient and not a CPU hog. Thanks.,Best way to multi-thread?,3,0,43179.0,130278.0,2008-09-04 02:24:38,2011-09-16 09:36:47,-1,122
2,213486,-7,7058,I've got problems installating the VMWARE ESXi Server. The Installation finishes without any error messages and prompts me to reboot. After pressing Enter the System reboots. While booting through the yellow loading-screen it switches to black and displays the following Error-Message: PANIC: Failed to find HD boot partition All modules have been loaded without any errors. After typing unsupported into the console the busybox comes up. I tooked a look into the /dev/disks directory but no disk devices gets listed in difference to the installation process. Switching to the system-console during installation both sata disks on MPC51 controller are shown. The controllers are named vmhba0 and vmhba32. Does anyone know how to solve the problem?! Hardware is a ESPRIMO P5615 (nForce4) from Fujitsu-Siemens.,VMWARE ESXi PANIC: Failed to find HD boot partition,1,0,345688.0,19671.0,2008-10-17 19:14:03,,-1,808
3,377361,-7,26418, has_numeric ^ has_numeric  =  has_numeric  and the sum of its digits is  has_numeric  +  has_numeric  +  has_numeric  +  has_numeric  +  has_numeric  =  has_numeric . What is the sum of the digits of the number  has_numeric  power of  has_numeric  ( has_numeric ^ has_numeric )? Can anyone provide the solution or algorithm for this problem in java?,Sum of the digits of the number 2^1000,11,13,,40945.0,2008-12-18 09:41:49,2012-10-11 10:51:44,-1,350
4,416914,-6,3129,"This post is not really a question, but it could be useful to share some coding tips. Here is the one I'd like to share with you. I'm going to show  has_numeric  examples that do the same thing. But only the last one will be the best. has_codeblock I'm sure you all know that has_codeblock won't work, but still, I'm pretty sure that you use double quote to display a simple information. This is bad . Well let's begin : The first one is bad (as well as the second) because using double quote forces php to scan the string to look for a substitution to be done (I mean a variable). The second one is a little better, since php has no replacement to do. The third one, is better because of simple quote, so that the language knows he can just send the text without processing, but the ""bad"" thing is the use of concatenation (dot operator, like in the second example). The last one uses simple quote, and the coma operator. Why is this solution better? Well, what happens when Using the third solution? php creates a string, containing has_codeblock , then it has to enlarge it, to put the content of foo variable (""John SMITH""), and then, enlarge it again to put has_codeblock sentence. Then, has_codeblock can use this, to ... echo it :) Whereas in the 4th one, the only thing to do for has_codeblock is to send ""Hello "", then $foo's content, then "" Welcome on my website."" to the output, and that is all! Because echo just has to send the text, without creating a string that will have to be enlarged to contain the whole text (that would have been concave, which has to be grown (because of concatenation) and then displayed. I'll try to find back some benchmarks and put them here. Fell free to comment or react, and excuse my English, this is not my mother tongue.",Optimizing PHP string concatenation,5,8,,51760.0,2009-01-06 15:16:05,2012-12-10 07:54:04,-1,1769
5,528035,-6,1324,Which programming languages are not supported by Eclipse? How do we change this fact?,Which programming languages are not supported by Eclipse?,4,1,528047.0,63679.0,2009-02-09 12:55:08,2014-01-24 10:19:04,-1,85
6,583177,-6,16322,"Is it possible to write an infinite for loop in VB.NET? If so, what is the syntax?",VB.NET Infinite For Loop,4,13,583194.0,62572.0,2009-02-24 19:22:56,,-1,82
7,621333,-6,5805,How to use Unicode available in vb6 in vb.net? Is there any equivalent of vb6 Unicode in vb.net??,Unicode in vb.net,3,3,,,2009-03-07 04:55:47,2012-09-01 00:46:41,-1,97
8,666387,-6,181,I have this code and for some reason I can't get it to work? Can anyone see the problem? I need this data to be able to return all the records that contain the same name that is entered in the mNameSearchDelete textbox. however no records are returned which should be there. thank you has_codeblock,Can anyone help with a Java problem?,1,7,666419.0,80378.0,2009-03-20 14:28:23,,-1,298
9,709248,-7,1241,"I have a string aBc12def6 i want to convert the string into a pattern template (say aBc##def#) then generate values to place into the blank spaces (ex aBc00def0, aBc00def1 ... aBc25def9 ...). I dont want to do it all at once. I want to generate it one at a time and test the string. How do i do this? using C#","strings, fill in the blank. C#",3,3,2198850.0,34537.0,2009-04-02 10:51:02,2012-10-17 02:36:37,-1,309
